Wire:1, Value:1 
Wire:5, Value:0 
Wire:9, Value:Z 
Wire:13, Value:Z 
Wire:17, Value:U 
Wire:21, Value:1 
Wire:25, Value:U 
Wire:29, Value:U 
Wire:33, Value:U 
Wire:37, Value:1 
Wire:41, Value:1 
Wire:45, Value:1 
Wire:49, Value:U 
Wire:53, Value:0 
Wire:57, Value:1 
Wire:61, Value:U 
Wire:65, Value:1 
Wire:69, Value:Z 
Wire:73, Value:1 
Wire:77, Value:Z 
Wire:81, Value:U 
Wire:85, Value:1 
Wire:89, Value:0 
Wire:93, Value:U 
Wire:97, Value:Z 
Wire:101, Value:Z 
Wire:105, Value:Z 
Wire:109, Value:U 
Wire:113, Value:0 
Wire:117, Value:U 
Wire:121, Value:Z 
Wire:125, Value:Z 
Wire:129, Value:0 
Wire:130, Value:0 
Wire:131, Value:Z 
Wire:132, Value:U 
Wire:133, Value:0 
Wire:134, Value:Z 
Wire:135, Value:1 
Wire:136, Value:Z 
Wire:137, Value:U 
Wire:1_1, Value:1 
Wire:1_2, Value:1 
Wire:1_3, Value:1 
Wire:5_1, Value:0 
Wire:5_2, Value:0 
Wire:5_3, Value:0 
Wire:9_1, Value:Z 
Wire:9_2, Value:Z 
Wire:9_3, Value:Z 
Wire:13_1, Value:Z 
Wire:13_2, Value:Z 
Wire:13_3, Value:Z 
Wire:17_1, Value:U 
Wire:17_2, Value:U 
Wire:17_3, Value:U 
Wire:21_1, Value:1 
Wire:21_2, Value:1 
Wire:21_3, Value:1 
Wire:25_1, Value:U 
Wire:25_2, Value:U 
Wire:25_3, Value:U 
Wire:29_1, Value:U 
Wire:29_2, Value:U 
Wire:29_3, Value:U 
Wire:33_1, Value:U 
Wire:33_2, Value:U 
Wire:33_3, Value:U 
Wire:37_1, Value:1 
Wire:37_2, Value:1 
Wire:37_3, Value:1 
Wire:41_1, Value:1 
Wire:41_2, Value:1 
Wire:41_3, Value:1 
Wire:45_1, Value:1 
Wire:45_2, Value:1 
Wire:45_3, Value:1 
Wire:49_1, Value:U 
Wire:49_2, Value:U 
Wire:49_3, Value:U 
Wire:53_1, Value:0 
Wire:53_2, Value:0 
Wire:53_3, Value:0 
Wire:57_1, Value:1 
Wire:57_2, Value:1 
Wire:57_3, Value:1 
Wire:61_1, Value:U 
Wire:61_2, Value:U 
Wire:61_3, Value:U 
Wire:65_1, Value:1 
Wire:65_2, Value:1 
Wire:65_3, Value:1 
Wire:69_1, Value:Z 
Wire:69_2, Value:Z 
Wire:69_3, Value:Z 
Wire:73_1, Value:1 
Wire:73_2, Value:1 
Wire:73_3, Value:1 
Wire:77_1, Value:Z 
Wire:77_2, Value:Z 
Wire:77_3, Value:Z 
Wire:81_1, Value:U 
Wire:81_2, Value:U 
Wire:81_3, Value:U 
Wire:85_1, Value:1 
Wire:85_2, Value:1 
Wire:85_3, Value:1 
Wire:89_1, Value:0 
Wire:89_2, Value:0 
Wire:89_3, Value:0 
Wire:93_1, Value:U 
Wire:93_2, Value:U 
Wire:93_3, Value:U 
Wire:97_1, Value:Z 
Wire:97_2, Value:Z 
