Wire:1, Value:0, Discovered faults:{'1_s-a-1'} 
Wire:2, Value:0, Discovered faults:{'2_s-a-1'} 
Wire:3, Value:0, Discovered faults:{'3_s-a-1'} 
Wire:4, Value:0, Discovered faults:{'4_s-a-1'} 
Wire:5, Value:1, Discovered faults:{'5_s-a-0'} 
Wire:6, Value:0, Discovered faults:{'6_s-a-1'} 
Wire:7, Value:0, Discovered faults:{'7_s-a-1'} 
Wire:8, Value:1, Discovered faults:{'8_s-a-0'} 
Wire:11, Value:0, Discovered faults:{'11_s-a-1'} 
Wire:14, Value:1, Discovered faults:{'14_s-a-0'} 
Wire:15, Value:1, Discovered faults:{'15_s-a-0'} 
Wire:16, Value:0, Discovered faults:{'16_s-a-1'} 
Wire:19, Value:1, Discovered faults:{'19_s-a-0'} 
Wire:20, Value:0, Discovered faults:{'20_s-a-1'} 
Wire:21, Value:1, Discovered faults:{'21_s-a-0'} 
Wire:22, Value:0, Discovered faults:{'22_s-a-1'} 
Wire:23, Value:0, Discovered faults:{'23_s-a-1'} 
Wire:24, Value:1, Discovered faults:{'24_s-a-0'} 
Wire:25, Value:1, Discovered faults:{'25_s-a-0'} 
Wire:26, Value:1, Discovered faults:{'26_s-a-0'} 
Wire:27, Value:0, Discovered faults:{'27_s-a-1'} 
Wire:28, Value:0, Discovered faults:{'28_s-a-1'} 
Wire:29, Value:0, Discovered faults:{'29_s-a-1'} 
Wire:32, Value:0, Discovered faults:{'32_s-a-1'} 
Wire:33, Value:1, Discovered faults:{'33_s-a-0'} 
Wire:34, Value:0, Discovered faults:{'34_s-a-1'} 
Wire:35, Value:0, Discovered faults:{'35_s-a-1'} 
Wire:36, Value:1, Discovered faults:{'36_s-a-0'} 
Wire:37, Value:1, Discovered faults:{'37_s-a-0'} 
Wire:40, Value:1, Discovered faults:{'40_s-a-0'} 
Wire:43, Value:0, Discovered faults:{'43_s-a-1'} 
Wire:44, Value:0, Discovered faults:{'44_s-a-1'} 
Wire:47, Value:1, Discovered faults:{'47_s-a-0'} 
Wire:48, Value:0, Discovered faults:{'48_s-a-1'} 
Wire:49, Value:1, Discovered faults:{'49_s-a-0'} 
Wire:50, Value:1, Discovered faults:{'50_s-a-0'} 
Wire:51, Value:0, Discovered faults:{'51_s-a-1'} 
Wire:52, Value:0, Discovered faults:{'52_s-a-1'} 
Wire:53, Value:1, Discovered faults:{'53_s-a-0'} 
Wire:54, Value:1, Discovered faults:{'54_s-a-0'} 
Wire:55, Value:0, Discovered faults:{'55_s-a-1'} 
Wire:56, Value:0, Discovered faults:{'56_s-a-1'} 
Wire:57, Value:1, Discovered faults:{'57_s-a-0'} 
Wire:60, Value:0, Discovered faults:{'60_s-a-1'} 
Wire:61, Value:0, Discovered faults:{'61_s-a-1'} 
Wire:62, Value:0, Discovered faults:{'62_s-a-1'} 
Wire:63, Value:1, Discovered faults:{'63_s-a-0'} 
Wire:64, Value:0, Discovered faults:{'64_s-a-1'} 
Wire:65, Value:0, Discovered faults:{'65_s-a-1'} 
Wire:66, Value:1, Discovered faults:{'66_s-a-0'} 
Wire:67, Value:1, Discovered faults:{'67_s-a-0'} 
Wire:68, Value:0, Discovered faults:{'68_s-a-1'} 
Wire:69, Value:0, Discovered faults:{'69_s-a-1'} 
Wire:72, Value:1, Discovered faults:{'72_s-a-0'} 
Wire:73, Value:0, Discovered faults:{'73_s-a-1'} 
Wire:74, Value:0, Discovered faults:{'74_s-a-1'} 
Wire:75, Value:1, Discovered faults:{'75_s-a-0'} 
Wire:76, Value:0, Discovered faults:{'76_s-a-1'} 
Wire:77, Value:0, Discovered faults:{'77_s-a-1'} 
Wire:78, Value:0, Discovered faults:{'78_s-a-1'} 
Wire:79, Value:0, Discovered faults:{'79_s-a-1'} 
Wire:80, Value:1, Discovered faults:{'80_s-a-0'} 
Wire:81, Value:0, Discovered faults:{'81_s-a-1'} 
Wire:82, Value:0, Discovered faults:{'82_s-a-1'} 
Wire:85, Value:0, Discovered faults:{'85_s-a-1'} 
Wire:86, Value:0, Discovered faults:{'86_s-a-1'} 
Wire:87, Value:0, Discovered faults:{'87_s-a-1'} 
Wire:88, Value:0, Discovered faults:{'88_s-a-1'} 
Wire:89, Value:1, Discovered faults:{'89_s-a-0'} 
Wire:90, Value:1, Discovered faults:{'90_s-a-0'} 
Wire:91, Value:0, Discovered faults:{'91_s-a-1'} 
Wire:92, Value:0, Discovered faults:{'92_s-a-1'} 
Wire:93, Value:1, Discovered faults:{'93_s-a-0'} 
Wire:94, Value:1, Discovered faults:{'94_s-a-0'} 
Wire:95, Value:1, Discovered faults:{'95_s-a-0'} 
Wire:96, Value:0, Discovered faults:{'96_s-a-1'} 
Wire:99, Value:1, Discovered faults:{'99_s-a-0'} 
Wire:100, Value:1, Discovered faults:{'100_s-a-0'} 
Wire:101, Value:0, Discovered faults:{'101_s-a-1'} 
Wire:102, Value:0, Discovered faults:{'102_s-a-1'} 
Wire:103, Value:1, Discovered faults:{'103_s-a-0'} 
Wire:104, Value:0, Discovered faults:{'104_s-a-1'} 
Wire:105, Value:1, Discovered faults:{'105_s-a-0'} 
Wire:106, Value:0, Discovered faults:{'106_s-a-1'} 
Wire:107, Value:1, Discovered faults:{'107_s-a-0'} 
Wire:108, Value:0, Discovered faults:{'108_s-a-1'} 
Wire:111, Value:0, Discovered faults:{'111_s-a-1'} 
Wire:112, Value:0, Discovered faults:{'112_s-a-1'} 
Wire:113, Value:1, Discovered faults:{'113_s-a-0'} 
Wire:114, Value:0, Discovered faults:{'114_s-a-1'} 
Wire:115, Value:0, Discovered faults:{'115_s-a-1'} 
Wire:116, Value:0, Discovered faults:{'116_s-a-1'} 
Wire:117, Value:0, Discovered faults:{'117_s-a-1'} 
Wire:118, Value:0, Discovered faults:{'118_s-a-1'} 
Wire:119, Value:1, Discovered faults:{'119_s-a-0'} 
Wire:120, Value:0, Discovered faults:{'120_s-a-1'} 
Wire:123, Value:0, Discovered faults:{'123_s-a-1'} 
Wire:124, Value:0, Discovered faults:{'124_s-a-1'} 
Wire:125, Value:1, Discovered faults:{'125_s-a-0'} 
Wire:126, Value:0, Discovered faults:{'126_s-a-1'} 
Wire:127, Value:0, Discovered faults:{'127_s-a-1'} 
Wire:128, Value:1, Discovered faults:{'128_s-a-0'} 
Wire:129, Value:1, Discovered faults:{'129_s-a-0'} 
Wire:130, Value:1, Discovered faults:{'130_s-a-0'} 
Wire:131, Value:1, Discovered faults:{'131_s-a-0'} 
Wire:132, Value:0, Discovered faults:{'132_s-a-1'} 
Wire:135, Value:0, Discovered faults:{'135_s-a-1'} 
Wire:136, Value:1, Discovered faults:{'136_s-a-0'} 
Wire:137, Value:0, Discovered faults:{'137_s-a-1'} 
Wire:138, Value:1, Discovered faults:{'138_s-a-0'} 
Wire:139, Value:0, Discovered faults:{'139_s-a-1'} 
Wire:140, Value:1, Discovered faults:{'140_s-a-0'} 
Wire:141, Value:0, Discovered faults:{'141_s-a-1'} 
Wire:142, Value:0, Discovered faults:{'142_s-a-1'} 
Wire:143, Value:0, Discovered faults:{'143_s-a-1'} 
Wire:144, Value:1, Discovered faults:{'144_s-a-0'} 
Wire:145, Value:0, Discovered faults:{'145_s-a-1'} 
Wire:146, Value:1, Discovered faults:{'146_s-a-0'} 
Wire:147, Value:0, Discovered faults:{'147_s-a-1'} 
