Wire:1, Value:0, Discovered faults:{'1_s-a-1'} 
Wire:4, Value:1, Discovered faults:{'4_s-a-0'} 
Wire:11, Value:1, Discovered faults:{'11_s-a-0'} 
Wire:14, Value:0, Discovered faults:{'14_s-a-1'} 
Wire:17, Value:1, Discovered faults:{'17_s-a-0'} 
Wire:20, Value:1, Discovered faults:{'20_s-a-0'} 
Wire:23, Value:1, Discovered faults:{'23_s-a-0'} 
Wire:24, Value:1, Discovered faults:{'24_s-a-0'} 
Wire:25, Value:1, Discovered faults:{'25_s-a-0'} 
Wire:26, Value:1, Discovered faults:{'26_s-a-0'} 
Wire:27, Value:0, Discovered faults:{'27_s-a-1'} 
Wire:31, Value:0, Discovered faults:{'31_s-a-1'} 
Wire:34, Value:0, Discovered faults:{'34_s-a-1'} 
Wire:37, Value:0, Discovered faults:{'37_s-a-1'} 
Wire:40, Value:0, Discovered faults:{'40_s-a-1'} 
Wire:43, Value:0, Discovered faults:{'43_s-a-1'} 
Wire:46, Value:1, Discovered faults:{'46_s-a-0'} 
Wire:49, Value:1, Discovered faults:{'49_s-a-0'} 
Wire:52, Value:0, Discovered faults:{'52_s-a-1'} 
Wire:53, Value:1, Discovered faults:{'53_s-a-0'} 
Wire:54, Value:0, Discovered faults:{'54_s-a-1'} 
Wire:61, Value:1, Discovered faults:{'61_s-a-0'} 
Wire:64, Value:0, Discovered faults:{'64_s-a-1'} 
Wire:67, Value:0, Discovered faults:{'67_s-a-1'} 
Wire:70, Value:1, Discovered faults:{'70_s-a-0'} 
Wire:73, Value:1, Discovered faults:{'73_s-a-0'} 
Wire:76, Value:0, Discovered faults:{'76_s-a-1'} 
Wire:79, Value:0, Discovered faults:{'79_s-a-1'} 
Wire:80, Value:0, Discovered faults:{'80_s-a-1'} 
Wire:81, Value:1, Discovered faults:{'81_s-a-0'} 
Wire:82, Value:1, Discovered faults:{'82_s-a-0'} 
Wire:83, Value:0, Discovered faults:{'83_s-a-1'} 
Wire:86, Value:0, Discovered faults:{'86_s-a-1'} 
Wire:87, Value:0, Discovered faults:{'87_s-a-1'} 
Wire:88, Value:1, Discovered faults:{'88_s-a-0'} 
Wire:91, Value:1, Discovered faults:{'91_s-a-0'} 
Wire:94, Value:1, Discovered faults:{'94_s-a-0'} 
Wire:97, Value:0, Discovered faults:{'97_s-a-1'} 
Wire:100, Value:0, Discovered faults:{'100_s-a-1'} 
Wire:103, Value:1, Discovered faults:{'103_s-a-0'} 
Wire:106, Value:1, Discovered faults:{'106_s-a-0'} 
Wire:109, Value:0, Discovered faults:{'109_s-a-1'} 
Wire:112, Value:0, Discovered faults:{'112_s-a-1'} 
Wire:113, Value:0, Discovered faults:{'113_s-a-1'} 
Wire:114, Value:1, Discovered faults:{'114_s-a-0'} 
Wire:115, Value:0, Discovered faults:{'115_s-a-1'} 
Wire:116, Value:0, Discovered faults:{'116_s-a-1'} 
Wire:117, Value:0, Discovered faults:{'117_s-a-1'} 
Wire:118, Value:0, Discovered faults:{'118_s-a-1'} 
Wire:119, Value:1, Discovered faults:{'119_s-a-0'} 
Wire:120, Value:1, Discovered faults:{'120_s-a-0'} 
Wire:121, Value:1, Discovered faults:{'121_s-a-0'} 
Wire:122, Value:0, Discovered faults:{'122_s-a-1'} 
Wire:123, Value:1, Discovered faults:{'123_s-a-0'} 
Wire:126, Value:0, Discovered faults:{'126_s-a-1'} 
Wire:127, Value:1, Discovered faults:{'127_s-a-0'} 
Wire:128, Value:1, Discovered faults:{'128_s-a-0'} 
Wire:129, Value:0, Discovered faults:{'129_s-a-1'} 
Wire:130, Value:1, Discovered faults:{'130_s-a-0'} 
Wire:131, Value:1, Discovered faults:{'131_s-a-0'} 
Wire:132, Value:0, Discovered faults:{'132_s-a-1'} 
Wire:135, Value:0, Discovered faults:{'135_s-a-1'} 
Wire:136, Value:1, Discovered faults:{'136_s-a-0'} 
Wire:137, Value:0, Discovered faults:{'137_s-a-1'} 
Wire:140, Value:1, Discovered faults:{'140_s-a-0'} 
Wire:141, Value:0, Discovered faults:{'141_s-a-1'} 
Wire:145, Value:1, Discovered faults:{'145_s-a-0'} 
Wire:146, Value:1, Discovered faults:{'146_s-a-0'} 
Wire:149, Value:1, Discovered faults:{'149_s-a-0'} 
Wire:152, Value:1, Discovered faults:{'152_s-a-0'} 
Wire:155, Value:0, Discovered faults:{'155_s-a-1'} 
Wire:158, Value:0, Discovered faults:{'158_s-a-1'} 
Wire:161, Value:1, Discovered faults:{'161_s-a-0'} 
Wire:164, Value:0, Discovered faults:{'164_s-a-1'} 
Wire:167, Value:0, Discovered faults:{'167_s-a-1'} 
Wire:170, Value:0, Discovered faults:{'170_s-a-1'} 
Wire:173, Value:1, Discovered faults:{'173_s-a-0'} 
Wire:176, Value:0, Discovered faults:{'176_s-a-1'} 
Wire:179, Value:0, Discovered faults:{'179_s-a-1'} 
Wire:182, Value:1, Discovered faults:{'182_s-a-0'} 
Wire:185, Value:1, Discovered faults:{'185_s-a-0'} 
Wire:188, Value:0, Discovered faults:{'188_s-a-1'} 
Wire:191, Value:1, Discovered faults:{'191_s-a-0'} 
Wire:194, Value:0, Discovered faults:{'194_s-a-1'} 
Wire:197, Value:0, Discovered faults:{'197_s-a-1'} 
Wire:200, Value:0, Discovered faults:{'200_s-a-1'} 
Wire:203, Value:0, Discovered faults:{'203_s-a-1'} 
Wire:206, Value:1, Discovered faults:{'206_s-a-0'} 
Wire:209, Value:1, Discovered faults:{'209_s-a-0'} 
Wire:210, Value:0, Discovered faults:{'210_s-a-1'} 
Wire:217, Value:1, Discovered faults:{'217_s-a-0'} 
Wire:218, Value:0, Discovered faults:{'218_s-a-1'} 
Wire:225, Value:0, Discovered faults:{'225_s-a-1'} 
Wire:226, Value:1, Discovered faults:{'226_s-a-0'} 
Wire:233, Value:1, Discovered faults:{'233_s-a-0'} 
Wire:234, Value:1, Discovered faults:{'234_s-a-0'} 
Wire:241, Value:0, Discovered faults:{'241_s-a-1'} 
Wire:242, Value:1, Discovered faults:{'242_s-a-0'} 
