Wire:1, Value:U 
Wire:2, Value:Z 
Wire:3, Value:1 
Wire:4, Value:Z 
Wire:5, Value:0 
Wire:6, Value:0 
Wire:7, Value:Z 
Wire:8, Value:Z 
Wire:11, Value:Z 
Wire:14, Value:0 
Wire:15, Value:Z 
Wire:16, Value:Z 
Wire:19, Value:Z 
Wire:20, Value:0 
Wire:21, Value:Z 
Wire:22, Value:0 
Wire:23, Value:1 
Wire:24, Value:1 
Wire:25, Value:1 
Wire:26, Value:1 
Wire:27, Value:1 
Wire:28, Value:U 
Wire:29, Value:1 
Wire:32, Value:U 
Wire:33, Value:1 
Wire:34, Value:U 
Wire:35, Value:U 
Wire:36, Value:0 
Wire:37, Value:0 
Wire:40, Value:0 
Wire:43, Value:0 
Wire:44, Value:U 
Wire:47, Value:Z 
Wire:48, Value:Z 
Wire:49, Value:U 
Wire:50, Value:U 
Wire:51, Value:U 
Wire:52, Value:U 
Wire:53, Value:0 
Wire:54, Value:Z 
Wire:55, Value:Z 
Wire:56, Value:U 
Wire:57, Value:1 
Wire:60, Value:1 
Wire:61, Value:1 
Wire:62, Value:1 
Wire:63, Value:Z 
Wire:64, Value:0 
Wire:65, Value:U 
Wire:66, Value:Z 
Wire:67, Value:Z 
Wire:68, Value:U 
Wire:69, Value:0 
Wire:72, Value:U 
Wire:73, Value:Z 
Wire:74, Value:0 
Wire:75, Value:1 
Wire:76, Value:0 
Wire:77, Value:1 
Wire:78, Value:1 
Wire:79, Value:1 
Wire:80, Value:1 
Wire:81, Value:U 
Wire:82, Value:0 
Wire:85, Value:Z 
Wire:86, Value:1 
Wire:87, Value:Z 
Wire:88, Value:Z 
Wire:89, Value:0 
Wire:90, Value:0 
Wire:91, Value:U 
Wire:92, Value:Z 
Wire:93, Value:U 
Wire:94, Value:1 
Wire:95, Value:U 
Wire:96, Value:U 
Wire:99, Value:1 
Wire:100, Value:1 
Wire:101, Value:U 
Wire:102, Value:Z 
Wire:103, Value:U 
Wire:104, Value:1 
Wire:105, Value:0 
Wire:106, Value:0 
Wire:107, Value:1 
Wire:108, Value:1 
Wire:111, Value:1 
Wire:112, Value:U 
Wire:113, Value:Z 
Wire:114, Value:Z 
Wire:115, Value:0 
Wire:116, Value:0 
Wire:117, Value:0 
Wire:118, Value:0 
Wire:119, Value:0 
Wire:120, Value:U 
Wire:123, Value:0 
Wire:124, Value:U 
Wire:125, Value:U 
Wire:126, Value:0 
Wire:127, Value:0 
Wire:128, Value:1 
Wire:129, Value:0 
Wire:130, Value:0 
Wire:131, Value:U 
Wire:132, Value:0 
Wire:135, Value:0 
Wire:136, Value:0 
Wire:137, Value:0 
Wire:138, Value:Z 
Wire:139, Value:U 
Wire:140, Value:0 
Wire:141, Value:0 
Wire:142, Value:U 
Wire:143, Value:Z 
Wire:144, Value:Z 
Wire:145, Value:Z 
Wire:146, Value:U 
Wire:147, Value:U 
Wire:148, Value:1 
Wire:149, Value:U 
Wire:150, Value:0 
Wire:151, Value:U 
Wire:152, Value:0 
Wire:153, Value:Z 
Wire:154, Value:U 
Wire:155, Value:0 
Wire:156, Value:0 
Wire:157, Value:Z 
Wire:158, Value:0 
Wire:159, Value:Z 
Wire:160, Value:0 
Wire:161, Value:1 
Wire:162, Value:0 
Wire:163, Value:U 
Wire:164, Value:0 
Wire:165, Value:Z 
Wire:166, Value:Z 
Wire:167, Value:Z 
