Wire:1, Value:0 
Wire:4, Value:U 
Wire:7, Value:U 
Wire:10, Value:Z 
Wire:13, Value:0 
Wire:16, Value:Z 
Wire:19, Value:1 
Wire:22, Value:0 
Wire:25, Value:U 
Wire:28, Value:0 
Wire:31, Value:Z 
Wire:34, Value:Z 
Wire:37, Value:0 
Wire:40, Value:Z 
Wire:43, Value:U 
Wire:46, Value:U 
Wire:49, Value:1 
Wire:53, Value:U 
Wire:56, Value:Z 
Wire:60, Value:Z 
Wire:63, Value:1 
Wire:66, Value:U 
Wire:69, Value:Z 
Wire:72, Value:0 
Wire:76, Value:0 
Wire:79, Value:1 
Wire:82, Value:Z 
Wire:85, Value:0 
Wire:88, Value:1 
Wire:91, Value:U 
Wire:94, Value:Z 
Wire:99, Value:U 
Wire:104, Value:Z 
Wire:1_1, Value:0 
Wire:1_2, Value:0 
Wire:4_1, Value:U 
Wire:4_2, Value:U 
Wire:7_1, Value:U 
Wire:7_2, Value:U 
Wire:10_1, Value:Z 
Wire:10_2, Value:Z 
Wire:13_1, Value:0 
Wire:13_2, Value:0 
Wire:16_1, Value:Z 
Wire:16_2, Value:Z 
Wire:19_1, Value:1 
Wire:19_2, Value:1 
Wire:22_1, Value:0 
Wire:22_2, Value:0 
Wire:25_1, Value:U 
Wire:25_2, Value:U 
Wire:28_1, Value:0 
Wire:28_2, Value:0 
Wire:31_1, Value:Z 
Wire:31_2, Value:Z 
Wire:34_1, Value:Z 
Wire:34_2, Value:Z 
Wire:37_1, Value:0 
Wire:37_2, Value:0 
Wire:40_1, Value:Z 
Wire:40_2, Value:Z 
Wire:43_1, Value:U 
Wire:43_2, Value:U 
Wire:46_1, Value:U 
Wire:46_2, Value:U 
Wire:49_1, Value:1 
Wire:49_2, Value:1 
Wire:49_3, Value:1 
Wire:53_1, Value:U 
Wire:53_2, Value:U 
Wire:56_1, Value:Z 
Wire:56_2, Value:Z 
Wire:56_3, Value:Z 
Wire:60_1, Value:Z 
Wire:60_2, Value:Z 
Wire:63_1, Value:1 
Wire:63_2, Value:1 
Wire:66_1, Value:U 
Wire:66_2, Value:U 
Wire:69_1, Value:Z 
Wire:69_2, Value:Z 
